                 t           Prod
1017     81.452313   55843.734623
1018     81.532403   55898.590944
1019     81.612494   55953.447265
1020     81.692585   56008.303586
1021     81.772676   56063.159907
1022     81.852766   56118.016227
1023     81.932857   56172.872548
1024     82.012948   56227.728869
1025     82.093039   56282.585190
1026     82.173130   56337.441511
1027     82.253220   56392.297832
1028     82.333311   56447.154152
1029     82.413402   56502.010473
1030     82.493493   56556.866794
1031     82.573583   56611.723115
1032     82.653674   56666.579436
1033     82.733765   56721.435757
1034     82.813856   56776.292078
1035     82.893946   56831.148398
1036     82.974037   56886.004719
1037     83.054128   56940.861040
1038     83.134219   56995.717361
1039     83.214310   57050.573682
1040     83.294400   57105.430003
1041     83.374491   57160.286324
1042     83.454582   57215.142644
1043     83.534673   57269.998965
1044     83.614763   57324.855286
1045     83.694854   57379.711607
1046     83.774945   57434.567928
1047     83.855036   57489.424249
1048     83.935126   57544.280569
1049     84.015217   57599.136890
1050     84.095308   57653.993211
1051     84.175399   57708.849532
1052     84.255490   57763.705853
1053     84.335580   57818.562174
1054     84.415671   57873.418495
1055     84.495762   57928.274815
1056     84.575853   57983.131136
1057     84.655943   58037.987457
1058     84.736034   58092.843778
1059     84.816125   58147.700099
1060     84.896216   58202.556420
1061     84.976306   58257.412740
1062     85.056397   58312.269061
1063     85.136488   58367.125382
1064     85.216579   58421.981703
1065     85.296670   58476.838024
1066     85.376760   58531.694345
1067     85.456851   58586.550666
