          x  Sw_0         p_0      Sw_1          p_1      Sw_2          p_2      Sw_3          p_3      Sw_4          p_4   C_0            C_1            C_2           C_3           C_4 
127  1270.0  0.251  176.592129  0.251000   176.592129  0.521987   290.722997  0.691811   751.991729  0.728880  2442.072543   0.0  4.513464e-262   1.524255e-02  3.658803e+02  4.999691e+02
128  1280.0  0.251  174.173058  0.251000   174.173058  0.521900   284.370123  0.688367   718.749715  0.728640  2396.869929   0.0  2.796647e-268   9.888677e-03  3.512048e+02  4.999688e+02
129  1290.0  0.251  171.753988  0.251000   171.753988  0.521310   278.014194  0.684581   687.015447  0.728397  2351.633632   0.0  1.733449e-274   6.362841e-03  3.358474e+02  4.999645e+02
130  1300.0  0.251  169.334918  0.251000   169.334918  0.516175   271.631442  0.680470   656.872125  0.728149  2306.363587   0.0  1.074777e-280   4.052998e-03  3.198908e+02  4.999559e+02
131  1310.0  0.251  166.915848  0.251000   166.915848  0.499668   265.549994  0.676315   628.405049  0.727896  2261.059701   0.0  6.665341e-287   2.527278e-03  3.034322e+02  4.999426e+02
132  1320.0  0.251  164.496777  0.251000   164.496777  0.486464   260.033237  0.672795   601.435362  0.727637  2215.721882   0.0  4.134040e-293   1.539611e-03  2.865961e+02  4.999234e+02
133  1330.0  0.251  162.077707  0.251000   162.077707  0.477014   254.910287  0.669133   575.690242  0.727372  2170.350083   0.0  2.564078e-299   9.189762e-04  2.695082e+02  4.998970e+02
134  1340.0  0.251  159.658637  0.251000   159.658637  0.470698   250.038052  0.665186   551.129391  0.727100  2124.944342   0.0  1.590242e-305   5.392560e-04  2.522882e+02  4.998613e+02
135  1350.0  0.251  157.239567  0.251000   157.239567  0.466697   245.320557  0.660938   527.767095  0.726819  2079.504829   0.0  9.861920e-312   3.119815e-04  2.350582e+02  4.998138e+02
136  1360.0  0.251  154.820496  0.251000   154.820496  0.464255   240.696114  0.656373   505.609595  0.726529  2034.031908   0.0  6.115451e-318   1.783247e-04  2.179397e+02  4.997515e+02
137  1370.0  0.251  152.401426  0.251000   152.401426  0.462798   236.126433  0.651473   484.655021  0.726229  1988.526200   0.0   0.000000e+00   1.008457e-04  2.010515e+02  4.996702e+02
138  1380.0  0.251  149.982356  0.251000   149.982356  0.461941   231.588399  0.646224   464.893543  0.725918  1942.988666   0.0   0.000000e+00   5.647589e-05  1.845075e+02  4.995651e+02
139  1390.0  0.251  147.563286  0.251000   147.563286  0.461438   227.068356  0.640609   446.307634  0.725593  1897.420707   0.0   0.000000e+00   3.133829e-05  1.684141e+02  4.994302e+02
140  1400.0  0.251  145.144215  0.251000   145.144215  0.461140   222.558373  0.634617   428.872459  0.725254  1851.824270   0.0   0.000000e+00   1.723627e-05  1.528690e+02  4.992585e+02
141  1410.0  0.251  142.725145  0.251000   142.725145  0.460960   218.053905  0.628238   412.556401  0.724899  1806.201985   0.0   0.000000e+00   9.398442e-06  1.379589e+02  4.990412e+02
142  1420.0  0.251  140.306075  0.251000   140.306075  0.460846   213.552376  0.621473   397.321741  0.724526  1760.557313   0.0   0.000000e+00   5.081184e-06  1.237593e+02  4.987683e+02
143  1430.0  0.251  137.887005  0.251000   137.887005  0.460768   209.052341  0.614392   383.125982  0.724134  1714.894716   0.0   0.000000e+00   2.723959e-06  1.103334e+02  4.984279e+02
